LHT (mm),HIC (mm),w_p (mm),w_n (mm),FF,rho_c,Th (K),"Electric potential (V), Voc","Electric potential (V), Vn", PDmax, flux (W)
2.185430535,1.484088801,2.181383683,2.748516097,0.70699848,1.89E-08,318.4741679,0.027362533,-0.030974132,35.98892196,0.770267462
4.778214379,1.683589148,1.998104433,3.860360476,0.216060796,8.29E-09,312.1507459,0.022313818,-0.036212884,6.023956886,0.453054855
3.793972738,2.636368483,1.292692606,3.032000513,0.361975725,8.49E-08,420.8383901,0.032833999,-0.025614566,11.97890698,0.30633369
3.193963179,1.350010965,3.232700015,0.874861624,0.646952573,2.74E-09,493.2232645,0.041938132,-0.016496692,113.1728175,0.72755108
1.202083882,2.674124212,2.644808722,1.335111066,0.48388041,1.50E-08,400.5442618,0.038214064,-0.0195565,248.3702862,1.362072891
1.201975342,0.720336077,4.395654465,1.486976828,0.714713935,2.51E-08,310.3030452,0.039603243,-0.018395251,277.7504218,3.596824834
0.761376255,2.441996093,0.644493112,1.660389141,0.915087111,4.48E-08,344.2437312,-0.008226337,-0.008227765,3.191444876,0.422525174
4.397792656,2.618869083,3.397405674,3.044315264,0.154892019,6.52E-09,348.9585813,0.038384602,-0.020048852,49.88590273,0.750233678
3.205017553,0.954544132,3.933269953,2.767846009,0.688610945,2.37E-08,367.5714258,0.041452926,-0.016994352,95.0822793,1.251525848
3.6863266,1.575866331,3.917689561,1.414220173,0.25730974,4.04E-09,308.7206767,0.036092451,-0.022383604,75.44185247,0.946603891
0.592630224,0.913749437,4.487332852,0.803996796,0.423029055,7.43E-09,480.9785401,0.041913404,-0.015532781,503.7382315,7.206171131
4.864594335,2.266510322,3.780651843,1.27144492,0.079576453,6.18E-08,403.1127889,0.036722317,-0.021771648,58.9343279,0.663841971
4.245991884,1.83836942,4.675145277,4.929715907,0.172316644,7.94E-08,434.1861586,0.038433119,-0.019997521,44.42442217,1.610764439
