H_Copper (mm),H_leg (mm),Width_leg_p (mm),Width_leg_n (mm),Delta_T (K),Power Output (Watts),Voltage (V),Effeciency,rho_c
1.136363636,0.927272727,1.487272727,0.974545455,572,0.006707709,0.06707709,0.089928518,0.951584132
0.618181818,0.409090909,1.145454545,2,588,0.006108069,0.06108069,0.025337075,0.323330578
1.827272727,0.15,0.290909091,0.290909091,536,0.006188588,0.06188588,0.002422047,0.030109091
0.445454545,2.222727273,1.145454545,1.829090909,588,0.006245119,0.062451185,0.14391177,1.756762809
1.654545455,1.186363636,1.316363636,1.487272727,569,0.006579837,0.065798373,0.097988458,1.077563306
1.481818182,0.927272727,0.461818182,1.487272727,545,0.00689797,0.068979703,0.029530586,0.295479669
1.654545455,1.445454545,0.12,1.658181818,596,0.006381596,0.063815962,0.010237531,0.119683636
0.618181818,1.963636364,1.487272727,0.974545455,418,0.006223095,0.062230947,0.163913759,2.015119339
1.654545455,3,2,0.12,431,0.006560625,0.065606251,0.374276537,4.14
0.618181818,3,0.12,1.145454545,486,0.006112867,0.061128669,0.0194959,0.2484
0.963636364,1.186363636,1.658181818,0.290909091,423,0.000697488,0.006974878,0.001386993,1.357372562
0.445454545,1.445454545,0.290909091,1.316363636,486,0.006460703,0.064607026,0.025437366,0.290142149
1.827272727,0.927272727,2,0.803636364,432,0.006224034,0.062240335,0.104119538,1.279636363
0.963636364,0.668181818,1.487272727,1.829090909,446,0.000684238,0.006842384,0.000674297,0.685700331
0.790909091,2.740909091,0.974545455,1.316363636,452,0.006567113,0.065671132,0.16695393,1.843086943
2,3,1.316363636,0.803636364,591,0.006418431,0.064184306,0.235779336,2.724872727
0.445454545,2.222727273,0.290909091,0.461818182,583,0.00602494,0.060249396,0.034017295,0.446161984
0.790909091,1.963636364,0.803636364,2,540,0.006485367,0.064853673,0.096192389,1.088854216
1.481818182,2.222727273,1.658181818,1.658181818,530,0.006993783,0.069937832,0.26127242,2.543123306
0.790909091,2.222727273,1.316363636,0.974545455,490,0.006202922,0.062029221,0.163156965,2.018882975
0.445454545,0.668181818,1.487272727,0.290909091,478,0.006301906,0.063019057,0.057197886,0.685700331
0.790909091,1.186363636,0.290909091,1.829090909,592,0.006177205,0.061772054,0.019085789,0.238135537
1.827272727,1.186363636,1.658181818,1.829090909,564,0.006126646,0.061266463,0.107015455,1.357372562
0.445454545,0.927272727,0.974545455,0.461818182,416,0.000671959,0.006719589,0.000591352,0.623531901
1.654545455,2.481818182,0.974545455,2,563,0.006022299,0.06022299,0.127129869,1.668864794
0.963636364,1.963636364,1.658181818,1.829090909,429,0.006302218,0.063022179,0.187426482,2.24668562
1.309090909,1.186363636,2,0.290909091,498,0.006025349,0.060253489,0.124842694,1.637181818
1.481818182,2.740909091,0.290909091,0.461818182,547,0.006726646,0.067266455,0.052287745,0.550175207
1.654545455,1.186363636,0.632727273,0.461818182,422,0.006056115,0.060561148,0.039900054,0.517944793
0.963636364,1.445454545,1.829090909,1.487272727,425,0.006200972,0.06200972,0.147336443,1.82426876
0.790909091,1.445454545,0.290909091,2,489,0.0061322,0.061321999,0.02291634,0.290142149
0.445454545,1.963636364,1.658181818,0.803636364,462,0.006234066,0.062340659,0.183394751,2.24668562
1.309090909,1.704545455,0.803636364,0.12,422,0.00676535,0.067653499,0.090865622,0.945185951
1.309090909,0.15,0.803636364,1.487272727,408,0.000679372,0.006793724,8.06E-05,0.083176364
1.654545455,1.963636364,0.461818182,0.290909091,417,0.000679371,0.006793711,0.000606593,0.625721653
1.481818182,0.668181818,0.632727273,2,592,0.00655179,0.065517902,0.026301595,0.291716033
2,1.445454545,1.145454545,0.12,562,0.006665387,0.066653869,0.106606561,1.14243471
1.481818182,2.740909091,0.803636364,1.658181818,547,0.006778177,0.067781765,0.146666479,1.519859009
1.136363636,0.927272727,0.632727273,0.632727273,554,0.006626758,0.066267578,0.037340244,0.404830413
1.136363636,0.927272727,0.12,1.658181818,415,0.006120729,0.061207287,0.006041516,0.076778182
0.963636364,0.15,0.974545455,0.974545455,481,0.00644981,0.064498099,0.008813291,0.100865454
0.618181818,2.740909091,0.290909091,0.12,598,0.006254734,0.062547341,0.045208546,0.550175207
1.654545455,1.445454545,0.974545455,0.632727273,469,0.006259529,0.062595292,0.079990938,0.971976198
1.481818182,1.445454545,1.487272727,0.803636364,417,0.00616394,0.061639397,0.118375745,1.483351735
0.790909091,2.481818182,0.974545455,0.290909091,406,0.000664113,0.00664113,0.001545991,1.668864794
0.445454545,1.445454545,0.803636364,1.829090909,520,0.006111664,0.061116636,0.062883081,0.801517686
1.481818182,1.445454545,2,1.829090909,453,0.006659035,0.066590352,0.185783853,1.994727272
0.618181818,2.481818182,1.487272727,0.461818182,544,0.006763358,0.067633582,0.244701293,2.546886942
