LHT (mm),HIC (mm),w_p (mm),w_n (mm),FF,rho_c,Th (K),"Electric potential (V), Voc","Electric potential (V), Vn",PDmax,flux (W),A,Qin_per_A,efficiency,V_diff
2.185430535,1.484088801,2.181383683,2.748516097,0.70699848,1.89e-08,318.4741679,0.027362533,-0.030974132,35.98892196,0.770267462,1.2312775507926758e-05,62558.39404398421,0.0005752852596359256,0.058336665
4.778214379,1.683589148,1.998104433,3.860360476,0.216060796,8.29e-09,312.1507459,0.022313818,-0.036212884,6.023956886,0.453054855,1.8894804329837196e-05,23977.747908432753,0.00025123113767834006,0.058526702
3.793972738,2.636368483,1.292692606,3.032000513,0.361975725,8.49e-08,420.8383901,0.032833999,-0.025614566,11.97890698,0.30633369,1.0864081284439333e-05,28196.925444470206,0.0004248302533405898,0.058448565
3.193963179,1.350010965,3.232700015,0.874861624,0.646952573,2.74e-09,493.2232645,0.041938132,-0.016496692,113.1728175,0.72755108,1.1215732248128918e-05,64868.798924954266,0.0017446417904380797,0.058434824
1.202083882,2.674124212,2.644808722,1.335111066,0.48388041,1.5e-08,400.5442618,0.038214064,-0.0195565,248.3702862,1.362072891,8.77753473452293e-06,155177.15761839482,0.001600559579849902,0.057770563999999996
1.201975342,0.720336077,4.395654465,1.486976828,0.714713935,2.51e-08,310.3030452,0.039603243,-0.018395251,277.7504218,3.596824834,2.1532878262683374e-05,167038.73909106347,0.0016627904599338513,0.057998494000000005
4.397792656,2.618869083,3.397405674,3.044315264,0.154892019,6.52e-09,348.9585813,0.038384602,-0.020048852,49.88590273,0.750233678,2.0810220740350785e-05,36051.211919405796,0.0013837510606168335,0.058433453999999996
3.205017553,0.954544132,3.933269953,2.767846009,0.688610945,2.37e-08,367.5714258,0.041452926,-0.016994352,95.0822793,1.251525848,2.3131584052709847e-05,54104.63222700845,0.0017573777953255533,0.058447278000000005
3.6863266,1.575866331,3.917689561,1.414220173,0.25730974,4.04e-09,308.7206767,0.036092451,-0.022383604,75.44185247,0.946603891,1.734831019408852e-05,54564.61640411281,0.0013826149149710428,0.058476055
0.592630224,0.913749437,4.487332852,0.803996796,0.423029055,7.43e-09,480.9785401,0.041913404,-0.015532781,503.7382315,7.206171131,2.0782566972616715e-05,346741.14802540565,0.0014527789227458264,0.057446185000000004
4.864594335,2.266510322,3.780651843,1.27144492,0.079576453,6.18e-08,403.1127889,0.036722317,-0.021771648,58.9343279,0.663841971,1.5909900542573102e-05,41725.08616402935,0.0014124435278172417,0.058493964999999995
4.245991884,1.83836942,4.675145277,4.929715907,0.172316644,7.94e-08,434.1861586,0.038433119,-0.019997521,44.42442217,1.610764439,4.615908228478425e-05,34895.93725157244,0.0012730542770562267,0.058430640000000006
1.455525998,2.088308367,1.996954699,2.608461274,0.33779956,2.74e-08,313.4345674,0.030838049,-0.027281879,65.64499334,0.992693042,1.0791898287815884e-05,91985.02575962528,0.0007136486922506616,0.058119928
1.318212352,0.991217417,2.764442375,4.403054771,0.357787225,5.61e-09,310.8230936,0.034060782,-0.024085128,67.85163311,2.522845241,2.70290329611215e-05,93338.34638586052,0.0007269427382985926,0.058145909999999995
1.325320294,1.029364655,0.563358485,4.3193861,0.859626695,4.37e-08,417.2935544,0.021271441,-0.03695138,1.569851791,1.274249188,1.8974469063494702e-05,67155.98648562712,2.337620029356554e-05,0.058222820999999994
1.869090093,0.603743314,0.531309143,2.801838009,0.717631618,1.13e-09,477.4592021,0.0089665,-0.049526029,0.41032141,0.398905698,8.132585634112478e-06,49050.291745687005,8.365320478161673e-06,0.058492529
2.443752584,1.899361653,0.953632387,1.367384047,0.589164359,2.1e-08,475.5638345,0.015318896,-0.043085833,8.565484917,0.146950689,2.779153861525416e-06,52876.05376383948,0.00016199175822114215,0.058404728999999996
1.810531131,2.644837285,1.670951156,3.597785172,0.267542359,3.82e-09,462.1982546,0.033235817,-0.024925176,29.64031342,0.951487039,1.5736135909600807e-05,60465.10048375257,0.0004902053115410695,0.058160993
3.253338026,2.167318619,1.296694825,1.725730607,0.344889527,7.99e-08,315.1707572,0.035705816,-0.022751352,38.48938415,0.191446099,4.659563597118369e-06,41086.70157831878,0.0009367844745734135,0.058457168000000004
1.127722373,1.588490808,0.628340112,4.244279435,0.337852331,7.45e-09,340.3914949,0.029621212,-0.028489301,4.586600253,1.458932966,1.8408719218712093e-05,79252.27978473506,5.787341721220031e-05,0.058110513
1.814650918,2.882800286,4.591868659,0.876758599,0.343844895,7.22e-09,431.5421338,0.042459826,-0.015564201,175.9917046,2.511418195,2.1853963422426905e-05,114918.20254548154,0.0015314519432232435,0.058024027
2.148628295,2.298113001,0.537004091,3.979124028,0.655667756,2.27e-08,388.7002765,0.023547749,-0.034736196,1.2689805,0.669474531,1.612180142395768e-05,41526.037531087095,3.055867054616082e-05,0.058283945
2.552314929,2.825413007,3.81236965,0.94971608,0.527727135,3.43e-08,358.1399627,0.044235477,-0.013950833,153.6794599,1.25192134,1.5436122980851688e-05,81103.35357867985,0.0018948594986385214,0.058186310000000005
4.033291826,1.818969933,1.184665491,4.465351566,0.39688176,8.94e-09,383.7267712,0.031274174,-0.027223816,4.379303931,0.506401307,2.134279693354492e-05,23727.035804013038,0.0001845702078916791,0.05849799
1.39853202,1.147260687,4.605033299,1.868920332,0.184180792,2.68e-09,389.0399293,0.038065438,-0.02007871,219.2993468,3.461331139,2.469919489226181e-05,140139.43183566787,0.0015648653910425273,0.058144148
2.814054973,0.632066716,4.517581728,3.444770142,0.069925247,3.52e-08,482.1104502,0.000183,-0.058258657,0.001985737,1.934636439,3.227498600037416e-05,59942.285923147174,3.312748203406758e-08,0.058441657
3.16586556,2.315212129,3.442555159,2.693760254,0.24695121,4.37e-09,320.6916567,0.040385903,-0.017983269,85.23179135,1.006151309,1.910753032878766e-05,52657.318433461754,0.0016186124528483087,0.058369172
0.709026857,0.803257495,3.525053674,2.148364154,0.146724264,2.24e-09,355.9461494,0.039579795,-0.018313553,418.490422,4.292742953,1.704147194277303e-05,251899.77529027194,0.0016613370199229456,0.057893348
3.233951834,1.256937821,0.524026139,3.404488249,0.756900528,1.83e-08,407.5129633,0.033891824,-0.024616585,2.259592526,0.330976305,1.1865143631934333e-05,27894.84183817184,8.100395546634467e-05,0.058508409
1.267358557,1.83117727,4.931922048,4.763853412,0.151248162,1.52e-09,439.6573853,0.03616956,-0.021681288,141.9725147,5.635177206,4.701815441857255e-05,119851.09317208885,0.0011845742157407608,0.057850848
0.792732168,1.911041469,4.450246716,0.685713863,0.701805414,8.76e-08,426.1274578,0.044037728,-0.0130026,372.5425485,5.27763834,2.0274899335179162e-05,260304.04653317918,0.001431182317223465,0.057040328
4.769984918,2.001457992,4.527978016,4.634837851,0.397092821,1.84e-08,488.3285475,0.032673584,-0.025777077,29.50929198,1.321399983,4.1984306818441594e-05,31473.664403090144,0.0009375867900879924,0.058450661
4.845344149,0.915638326,3.466600417,3.240867448,0.116040551,9.37e-08,459.121785,0.037533871,-0.021019106,41.70297003,0.726538541,2.2520540266650605e-05,32261.15059397087,0.0012926684033951867,0.058552977000000006
4.137788067,1.449343512,2.051541179,4.132914353,0.781457044,4.76e-09,411.4153684,0.028534489,-0.029946769,10.64929713,0.580079883,2.1289802258366123e-05,27246.842218651873,0.0003908451865556004,0.058481258
1.870761961,2.042985568,4.521418921,2.22743729,0.571667513,8.76e-08,342.9365383,0.039415706,-0.018651633,170.8133451,2.567754238,2.540470594005935e-05,101073.96023628216,0.0016899836980829384,0.058067339
0.939524513,2.924547162,1.811826177,2.623293387,0.262185362,1.95e-09,390.1748463,0.03319866,-0.024419162,103.1673753,1.369898926,1.0164382289940367e-05,134774.4395009406,0.000765481761096695,0.057617822
3.579048619,2.319077844,3.032201945,4.409828383,0.855213057,1.21e-09,438.6764488,0.03572252,-0.022607182,31.20091997,1.026798062,2.8640835002774173e-05,35850.84240388045,0.0008702980983962277,0.058329702
2.480686222,2.806509393,0.948789376,2.366815864,0.090732482,1.16e-09,467.592435,0.028417559,-0.029931046,12.3547886,0.274685305,6.502018614092535e-06,42246.157893895375,0.00029244762638605017,0.058348605
1.049172057,2.405530146,4.648800336,2.90596805,0.231637647,8.51e-09,491.9472449,0.038106188,-0.019496931,259.6794976,5.036522362,3.005599487161451e-05,167571.3076048131,0.0015496656397311617,0.057603118999999994
2.728296096,1.979292422,1.13346706,0.590877154,0.726842235,1.47e-09,421.0905532,0.035996319,-0.022375037,96.29306683,0.112714104,1.6338833872241833e-06,68985.40304733181,0.0013958469846719896,0.058371356
0.654748345,0.980058423,1.512035626,1.213691026,0.688440137,1.06e-08,405.3838735,0.035732922,-0.022171241,317.0845583,0.939305375,3.7592976408861443e-06,249861.93292707365,0.001269039083246612,0.057904163
4.591941809,2.16671413,3.011603712,3.387589286,0.310344524,4.52e-09,303.5383846,0.035958002,-0.022519754,33.67851229,0.644926343,2.0545518088754166e-05,31390.12315065484,0.0010729015661506706,0.058477756000000006
1.664509917,2.058448915,3.938418501,3.726396055,0.105822388,4.69e-09,314.4198138,0.035435659,-0.022657451,106.2328969,2.718606408,2.9397167847738648e-05,92478.51432766937,0.0011487305745807742,0.05809311
3.48135028,2.006172926,3.287080877,3.121704216,0.822270265,1.87e-08,331.2209995,0.033087454,-0.025277408,44.55789482,0.913233583,2.0549937904131265e-05,44439.72469699812,0.00100265911014993,0.058364862
1.902699842,1.72446467,1.544602608,1.144895163,0.332327874,2.12e-09,310.9519862,0.040784625,-0.017569796,150.1715476,0.329940244,3.6965821509011975e-06,89255.4880511889,0.0016824909132072095,0.058354421
2.840306095,1.82164151,0.504243691,2.504324429,0.226142073,3.41e-08,380.1726478,0.015849942,-0.042632187,0.946955391,0.211837309,6.525902545599479e-06,32460.997926309105,2.917209733199571e-05,0.058482129
2.960196257,1.336106318,3.907177611,2.097926449,0.51445564,1.46e-08,367.375709,0.036814996,-0.021604673,91.90656737,1.24250524,1.9667332269313416e-05,63176.09439784869,0.0014547681088232904,0.05841966900000001
4.863130825,0.993889764,4.144609041,4.416480655,0.08919192,5.37e-09,407.1330216,0.034003843,-0.024525982,30.00429536,1.114940795,3.6683085478728175e-05,30393.86628604437,0.0009871825807754098,0.058529825
3.988097705,2.512935993,2.570929782,3.991376474,0.739223679,9.23e-08,419.1941519,0.029749246,-0.028637601,17.75830624,0.705630156,2.254076610117524e-05,31304.62171661546,0.0005672742638693019,0.058386847
4.727745237,0.964442387,4.566952676,0.877952756,0.565225905,1.42e-08,394.3954406,0.046609331,-0.011922695,81.85497283,0.968904141,2.1627857786591555e-05,44798.895505993365,0.0018271649759545774,0.058532026
4.526723077,0.712415725,2.344314529,4.50639139,0.432904205,8.85e-08,355.5474297,0.035339997,-0.023214429,16.07778439,0.654771021,2.5803373970746626e-05,25375.40329967376,0.0006335971964712264,0.058554426
3.190549905,1.590615066,2.862203379,2.62295218,0.7196724,1.13e-09,490.565063,0.032464029,-0.025953242,48.31591716,0.742320216,1.507208632132577e-05,49251.324612550656,0.0009810074660953933,0.058417271
0.898216259,1.594292062,2.514307427,1.130176541,0.25628559,4.3e-08,487.7781999,0.040599985,-0.017333015,384.6441533,1.618878465,7.599040851294084e-06,213037.21044272475,0.0018055256755411372,0.057933
1.381922881,1.19188533,3.988358462,3.518237866,0.179282629,1.28e-09,362.2476094,0.037601173,-0.020522988,153.5900208,3.244747691,2.828500090316324e-05,114716.19541780271,0.0013388695488079662,0.058124161
1.963986488,1.367505839,1.925227049,2.472714037,0.65205777,4.02e-08,321.7684646,0.037776166,-0.020567254,74.57477218,0.677870351,9.820813898978084e-06,69023.84649306272,0.0010804204049609893,0.05834342
2.249047804,2.832169225,1.661711754,0.575882915,0.444187419,1.32e-08,314.1862137,0.036708164,-0.021528286,127.8421382,0.276372735,3.092927085170653e-06,89356.36935157527,0.001430699782541537,0.05823645
1.721070643,2.806612849,0.669862926,1.182247871,0.565933613,1.34e-09,385.9090897,0.026054561,-0.032111959,26.205977,0.126405096,1.846426368113314e-06,68459.32130462438,0.00038279633073472793,0.05816652
4.229318791,1.75592955,3.124378228,0.914362219,0.721052515,2.44e-08,448.3394753,0.045855716,-0.012595477,104.0010745,0.516100597,1.0597797579135022e-05,48698.853997372105,0.0021355959322084278,0.058451193
2.10538997,1.319709985,1.534826369,1.578848778,0.745728709,1.32e-09,353.8729555,0.036714834,-0.02167674,84.09520957,0.344567538,4.848455446769817e-06,71067.48567310462,0.0011833148277796144,0.058391574
1.764205294,2.342831035,1.166602649,0.950081405,0.877904763,4.31e-08,412.4695778,0.040343993,-0.017750803,148.4793627,0.209735685,2.2636164167805917e-06,92655.13513914814,0.0016024946968887998,0.058094796000000004
2.942132374,0.591782359,3.442234837,3.61359512,0.43415851,1.22e-09,355.7300681,0.027179332,-0.031301506,32.28421045,1.258392069,2.490705036434423e-05,50523.52850265462,0.0006389935819368538,0.058480838
1.134159012,1.686922515,3.56544166,0.63067956,0.314069819,1.88e-09,377.7226122,0.043778498,-0.014225294,285.2486357,2.415160853,1.3110130938265347e-05,184220.95586785648,0.0015484049268781979,0.058003792
4.109886413,1.340808486,3.884697015,3.279832253,0.62569784,3.55e-09,481.2892637,0.026253732,-0.032225144,26.24515596,1.022265158,2.5848170506168965e-05,39548.83993650632,0.0006636138001047637,0.058478876
0.835477897,2.801339713,2.766096034,1.133185239,0.424155109,1.85e-08,471.1679251,0.038914464,-0.018430293,384.7063223,2.049778314,8.935396055198015e-06,229399.82753283513,0.0016770122560137283,0.057344757
4.940991215,0.530007568,4.523245723,4.753226557,0.585138609,8.97e-08,403.2035087,0.029194566,-0.02932094,22.16303626,1.295690155,4.3052914572807854e-05,30095.294775196373,0.0007364286153550521,0.058515506
3.975101462,1.882037189,4.71354239,4.698923329,0.427987219,1.72e-09,347.6211255,0.035773202,-0.022635194,43.54301466,1.690507136,4.4297362314147346e-05,38162.704226298796,0.0011409834691429835,0.058408396
1.394220567,2.351658953,4.133169229,1.514763961,0.187696208,1.93e-09,338.6367825,0.036850988,-0.021113014,207.3025529,2.747531083,1.9377597733096862e-05,141789.04531118568,0.0014620491480497046,0.057964002
0.524849527,1.712544969,3.360170669,3.264895842,0.472484076,5.47e-09,490.8174706,0.031614563,-0.02529429,262.8949831,6.208302682,2.1950291783916796e-05,282834.6312256718,0.000929500683706013,0.056908852999999995
4.169576428,0.713507575,1.866744291,0.626023938,0.67182604,4.7e-08,340.5433193,0.047110872,-0.011471109,113.3819278,0.189375945,3.87664021893012e-06,48850.53404627376,0.0023209966894650273,0.058581981
3.680858047,2.931153475,4.923252147,4.693048444,0.769355427,8.6e-09,461.6336622,0.030774201,-0.027474107,36.31204856,1.936659398,4.626311540067094e-05,41861.84568910189,0.0008674258853678137,0.058248308
3.780532256,1.795026078,1.733612752,2.853442887,0.493993649,4.4e-09,373.7940419,0.03135675,-0.02712824,19.152305,0.359758134,1.1147549483267906e-05,32272.396237395922,0.0005934577915787702,0.05848499
3.97071656,2.035465611,1.411956149,0.694504181,0.198714101,1.33e-08,497.1319695,0.02369392,-0.034825769,29.12781918,0.119162685,2.475956224125391e-06,48127.9450092431,0.0006052163493456021,0.058519689
0.833200933,1.091524457,2.489693512,2.041249969,0.423218939,3.32e-09,373.6311481,0.038500003,-0.019456112,284.3998365,2.020022756,1.0365275219637394e-05,194883.6584843394,0.0014593313708899508,0.057956115
